t,orig,recon
4.43,-0.0400608034,-0.0437705875
4.44,-0.0430608034,-0.046548273
4.45,-0.0450608034,-0.0492957649
4.46,-0.0470608034,-0.0520105124
4.47,-0.0500608034,-0.0546900009
4.48,-0.0520608034,-0.0573317601
4.49,-0.0540608034,-0.0599333725
4.5,-0.0560608034,-0.0624924807
4.51,-0.0580608034,-0.0650067947
4.52,-0.0600608034,-0.067474098
4.53,-0.0620608034,-0.0698922535
4.54,-0.0640608034,-0.0722592081
4.55,-0.0660608034,-0.0745729969
4.56,-0.0680608034,-0.0768317459
4.57,-0.0700608034,-0.0790336743
4.58,-0.0720608034,-0.0811770954
4.59,-0.0740608034,-0.0832604171
4.6,-0.0760608034,-0.0852821406
4.61,-0.0770608034,-0.0872408594
4.62,-0.0790608034,-0.0891352561
4.63,-0.0800608034,-0.0909641001
4.64,-0.0820608034,-0.0927262428
4.65,-0.0830608034,-0.094420614
4.66,-0.0850608034,-0.0960462166
4.67,-0.0860608034,-0.0976021215
4.68,-0.0870608034,-0.0990874624
4.69,-0.0890608034,-0.10050143
4.7,-0.0900608034,-0.101843268
4.71,-0.0910608034,-0.103112264
4.72,-0.0920608034,-0.104307751
4.73,-0.0930608034,-0.105429095
4.74,-0.0940608034,-0.1064757
4.75,-0.0940608034,-0.107446994
4.76,-0.0950608034,-0.108342437
4.77,-0.0960608034,-0.10916151
4.78,-0.0960608034,-0.109903721
4.79,-0.0970608034,-0.110568599
4.8,-0.0970608034,-0.111155697
4.81,-0.0980608034,-0.111664594
4.82,-0.0980608034,-0.112094896
4.83,-0.0980608034,-0.112446238
4.84,-0.0980608034,-0.11271829
4.85,-0.0990608034,-0.11291076
4.86,-0.0990608034,-0.113023397
4.87,-0.0990608034,-0.113056001
4.88,-0.0990608034,-0.113008425
4.89,-0.0980608034,-0.112880583
4.9,-0.0980608034,-0.112672454
4.91,-0.0980608034,-0.11238409
4.92,-0.0970608034,-0.112015624
4.93,-0.0970608034,-0.111567272
4.94,-0.0960608034,-0.111039339
4.95,-0.0960608034,-0.110432229
4.96,-0.0950608034,-0.109746445
4.97,-0.0940608034,-0.108982591
4.98,-0.0940608034,-0.108141382
4.99,-0.0930608034,-0.107223641
5,-0.0920608034,-0.1062303
5.01,-0.0910608034,-0.105162405
5.02,-0.0900608034,-0.104021109
5.03,-0.0890608034,-0.102807678
5.04,-0.0880608034,-0.101523481
5.05,-0.0860608034,-0.100169992
5.06,-0.0850608034,-0.0987487825
5.07,-0.0840608034,-0.0972615172
5.08,-0.0830608034,-0.0957099485
5.09,-0.0810608034,-0.0940959089
5.1,-0.0800608034,-0.0924213043
5.11,-0.0780608034,-0.0906881055
5.12,-0.0760608034,-0.0888983409
5.13,-0.0750608034,-0.0870540871
5.14,-0.0730608034,-0.0851574614
5.15,-0.0710608034,-0.0832106123
5.16,-0.0700608034,-0.0812157121
5.17,-0.0680608034,-0.0791749481
5.18,-0.0660608034,-0.0770905154
5.19,-0.0640608034,-0.0749646092
5.2,-0.0620608034,-0.0727994191
5.21,-0.0600608034,-0.0705971225
5.22,-0.0580608034,-0.0683598799
5.23,-0.0560608034,-0.0660898305
5.24,-0.0540608034,-0.0637890892
5.25,-0.0520608034,-0.0614597437
5.26,-0.0500608034,-0.0591038534
5.27,-0.0480608034,-0.0567234485
5.28,-0.0460608034,-0.0543205305
5.29,-0.0440608034,-0.0518970733
5.3,-0.0410608034,-0.0494550248
5.31,-0.0390608034,-0.04699631
5.32,-0.0370608034,-0.0445228338
5.33,-0.0350608034,-0.042036485
5.34,-0.0330608034,-0.0395391403
5.35,-0.0300608034,-0.0370326685
5.36,-0.0280608034,-0.0345189355
